岗位名称,工作地点,岗位薪资,经验要求,学历要求,岗位标签,企业名称,企业行业,企业规模,融资状况
AI产品经理,深圳,20-40k·15薪,3-5年,统招本科,"AI人工智能产品,策略产品,人工智能,产品设计,用户研究,产品规划,产品优化,团队管理",某长沙大型互联网公司,互联网,1000-2000人,B轮
AI产品专家,深圳-南山区,1-2k,10年以上,本科,AI产品 大模型产品 ERP,金蝶,互联网,5000-10000人,已上市
大模型-产品创意设计师（视觉/UI）,深圳-南山区,20-40k·15薪,3-5年,统招本科,"UI设计,AIGC",商汤科技SenseTime,计算机软件,2000-5000人,港股上市
算法工程师,深圳,25-45k·15薪,3-5年,本科,"深度学习,算法研究,算法开发,PyTorch,深度学习框架",某长沙大型互联网公司,互联网,1000-2000人,B轮
AI算法工程师,深圳,30-50k·15薪,3-5年,硕士,"算法研究,C++,图像处理",深圳市汉森软件股份有限公司,计算机软件,100-499人,Unknown
AI开发,深圳,50-70k·14薪,经验不限,硕士,"cv,多模态",某北京通信设备上市公司,通信设备,10000人以上,已上市
算法工程师,深圳-福田区,20-40k·15薪,1-3年,硕士,"算法研究,算法开发,Python,C++,深度学习",某知名公司,专业技术服务,100-499人,融资未公开
AI算法工程师（接受应届毕业生）(J13509),深圳-福田区,25-40k,1-3年,本科,深度学习,国信证券股份有限公司,基金/证券/期货,5000-10000人,已上市
AI /算法/模型训练/机器学习（专家）,深圳-龙岗区,薪资面议,5-10年,统招本科,"深度学习,算法优化,GPT,OpenCV,NLP",华为,通信设备,10000人以上,Unknown
AI产品总监,深圳-南山区,40-70k·13薪,5-10年,本科,"工具产品,数据产品,web端产品,产品设计,产品优化,用户研究,需求分析",深圳斐波那契智能科技发展有限公司,云计算/大数据,1-49人,Unknown
智能算力中心解决方案工程师,深圳-南山区,24-30k,3-5年,统招本科,"智能算力,AIGC,人工智能领域",深圳市前海大数据资源管理中心有限公司,通信设备,50-99人,Unknown
AI技术研发岗1880,深圳-福田区,50-70k·15薪,10年以上,硕士,"图像检测,算法研究,视觉算法,算法设计",中移信息技术有限公司,IT服务,2000-5000人,Unknown
增长算法工程师-广告投放,深圳-南山区,30-60k·15薪,3-5年,本科,数据处理,字节跳动,互联网,10000人以上,其他
NLP高级算法工程师,深圳-福田区,30-45k,5-10年,硕士,自然语言处理,光汇石油,石化,500-999人,融资未公开
AI架构师,深圳-南山区,25-35k,5-10年,本科,"团队管理,软件开发,大数据领域,云计算领域,人工智能领域,技术管理,技术战略",深圳元想视界科技集团有限公司,IT服务,50-99人,Unknown
NLP算法工程师（大模型）,深圳-南山区,30-40k,3-5年,本科,"文本分类,知识图谱,问答系统,自然语言处理,深度学习,深度学习框架",东信时代,广告/公关/会展,1000-2000人,C轮
数字人算法开发高级工程师,深圳,40-65k,5-10年,硕士,"语音识别,算法开发,算法研究,EM算法,PID算法,OpenCV,C++,Python,Objective-C,C语言",鹏城实验室,学术/科研,1000-2000人,Unknown
AI技术总监,深圳-南山区,40-60k,5-10年,本科,"web开发,技术支持,Python,MySQL,PostgreSQL",深圳斐波那契智能科技发展有限公司,云计算/大数据,1-49人,Unknown
深度学习算法工程师,深圳-南山区,30-60k·16薪,3-5年,硕士,"机器视觉,深度学习,视觉识别,Python,C++",其域创新,计算机软件,50-99人,其他
高级AI模型训练师,深圳-福田区,30-50k,5-10年,本科,Unknown,矩阵纵横,装饰装修,500-999人,Unknown
AI算法工程师,深圳-南山区,30-50k,经验不限,本科,"深度学习,算法研究,Q-learning,深度学习框架",深圳天紫福科技有限公司,科技推广服务,Unknown,Unknown
大模型算法科学家-某AI绘画类项目,深圳-南山区,60-90k,3-5年,统招本科,"算法优化,大模型,AIGC,视觉算法,Stable Diffusion",北京源码资本投资有限公司,基金/证券/期货,50-99人,Unknown
初级AI模型训练师,深圳-福田区,12-24k,1-3年,本科,"LoRA模型训练,AIGC,stable diffusion,controlnet",矩阵纵横,装饰装修,500-999人,Unknown
AI产品经理,深圳-南山区,30-60k·16薪,5-10年,本科,"AIGC,C端产品,产品经理,海外产品",百度国际科技(深圳)有限公司,互联网,1000-2000人,融资未公开
AI平台架构师,深圳-南山区,50-70k·16薪,5-10年,本科,"架构设计,技术支持,技术管理,技术战略,团队管理,容器",深信服科技股份有限公司,互联网,5000-10000人,已上市
人工智能专家,深圳-南山区,20-45k·13薪,10年以上,硕士,"卫浴,家电行业",九牧厨卫,家具/家居,10000人以上,Unknown
3D内容生成算法工程师（深圳社招）,深圳-福田区,25-45k·14薪,经验不限,硕士,"深度学习,PyTorch",光影焕像,专业技术服务,1-49人,A轮
NLP算法工程师,深圳-南山区,30-40k,3-5年,硕士,"自然语言处理,深度学习,深度学习框架",东信时代,广告/公关/会展,1000-2000人,C轮
算法工程师-大语言模型方向,深圳-南山区,20-40k·14薪,3-5年,统招本科,"语言模型,算法研究",厦门海豹他趣信息技术股份有限公司,在线社交/媒体,500-999人,新三板上市
NLP高级算法工程师,深圳-福田区,30-60k,5-10年,硕士,"自然语言处理,知识图谱,算法研究,深度学习",光汇石油,石化,500-999人,融资未公开
高级NLP算法工程师（大模型）,深圳-南山区,40-60k,3-5年,硕士,"自然语言处理,深度学习,深度学习框架",东信时代,广告/公关/会展,1000-2000人,C轮
AI应用开发工程师,深圳-南山区,40-70k,5-10年,本科,深度学习,深圳市梦网云创科技有限公司,互联网,5000-10000人,Unknown
算法工程师,深圳-福田区,15-30k,1-3年,本科,"算法开发,深度学习,自然语言处理",深圳书齐智能科技有限公司,专业技术服务,1-49人,Unknown
大模型芯片产品经理,深圳-南山区,30-50k·15薪,5年以上,硕士,Unknown,深圳比特微电子科技有限公司,电子/半导体/集成电路,100-499人,Unknown
AI平台研发工程师（Python）（远程办公）,深圳-南山区,15-25k,3-5年,本科,语言模型,北京必来屋网络科技有限公司,互联网,100-499人,Unknown
大模型芯片产品经理,深圳,40-70k·15薪,5-10年,统招本科,Unknown,某杭州电子/半导体/集成电路公司,电子/半导体/集成电路,100-499人,Unknown
AI性能资深系统架构师,深圳,50-80k·13薪,10年以上,统招本科,"NVIDIA GPU,GPU性能分析,PyTorch,TensorFlow",某深圳通信设备上市公司,通信设备,10000人以上,已上市
大模型行业销售,深圳-南山区,40-60k,3-5年,统招本科,"客户管理,市场洞察,to B",科大讯飞,计算机软件,10000人以上,已上市
资深AI原生应用产品经理,深圳-南山区,50-80k·16薪,5-10年,本科,AI人工智能产品,百度(中国)有限公司,计算机软件,10000人以上,已上市
腾讯会议产品策划（AI方向）,深圳-南山区,25-55k·16薪,3-5年,本科,"工具产品,to B,to C",腾讯,互联网,10000人以上,港股上市
AI产品负责人,深圳,50-80k·14薪,5-10年,统招本科,"AI人工智能产品,人工智能,产品规划,用户研究,团队管理",某深圳大型云计算/大数据公司,云计算/大数据,2000-5000人,A轮
CTO助理（AI）,深圳-南山区,17-30k·13薪,经验不限,统招本科,Unknown,某深圳电子/半导体/集成电路公司,电子/半导体/集成电路,100-499人,融资未公开
AI规划,深圳-南山区,15-29k·13薪,3-5年,硕士,Unknown,某深圳电子/半导体/集成电路公司,电子/半导体/集成电路,100-499人,融资未公开
自然语言算法岗(megatron/prestrain/sft),深圳-南山区,50-70k·14薪,1-3年,统招本科,"megatron,deepspeed,baichuan,qwen,chatglm,GPT,MoE,pretrain,sft,RLHF",顺丰科技,互联网,2000-5000人,Unknown
AI产品经理,深圳-南山区,15-20k·16薪,经验不限,统招本科,"AI人工智能产品,客户端产品,消费品,批发/零售,to C,产品规划,需求分析,用户研究,市场调研",绝味股份,食品/饮料/酒水,5000-10000人,沪深A股上市
人工智能讲师,深圳-福田区,12-18k,经验不限,本科,"IT类,人工智能课程,C++,SQL,Python,C#,线上授课,线下授课,集体授课",乾客数字科技深圳有限公司,计算机软件,100-499人,Unknown
AI产品经理,深圳,35-50k·13薪,经验不限,统招本科,"电商,履约,订单,AI,AIGC,AI人工智能产品",某知名公司,办公用品/设备,2000-5000人,已上市
AI高级产品经理,深圳-坪山区,35-40k,5年以上,本科,"电子商务,团队管理",某深圳办公用品/设备上市公司,办公用品/设备,2000-5000人,已上市
AI产品经理2005,深圳-福田区,50-70k·15薪,5-10年,硕士,"AI人工智能产品,人工智能,需求分析,用户研究,产品设计,产品规划",中移信息技术有限公司,IT服务,2000-5000人,Unknown
服务器高级系统工程师（GPU、AI方向）,深圳,35-45k,5-10年,统招本科,"GPU服务器,AI服务器,HPC,AI集群,交换机,智能网卡",超聚变数字技术有限公司,计算机软件,2000-5000人,战略投资
创新产品经理（AI）,深圳,30-40k·16薪,3-5年,统招本科,"IT互联网,智能硬件,电子产品及配件,广电行业,市场调研,用户研究,产品规划",TCL实业控股股份有限公司,电子/半导体/集成电路,10000人以上,Unknown
高级AI产品经理（图像编辑方向）- 剪映CapCut,深圳-南山区,30-50k·15薪,5-10年,本科,"客户端产品,海外产品,用户研究",字节跳动,互联网,10000人以上,其他
AI产品专家,深圳,40-70k·18薪,5-10年,统招本科,"AIGC,知识图谱,大语言模型",某大型产业互联网集团,互联网/电商,10000人以上,融资未公开
AI研究员,深圳-福田区,45-70k·16薪,5-10年,硕士,Unknown,深圳市景佑宝元科技有限公司,计算机软件,100-499人,Unknown
人工智能高级主任(视觉感知),深圳,100-200k,10年以上,统招本科,"人工智能,视觉感知,环视感知,智驾产品",某国内大型整车制造公司,整车制造,10000人以上,融资未公开
算法负责人（客户正职岗位）,深圳-龙华区,80-110k·18薪,5-10年,硕士,"深度学习,算法研究,图像处理,OpenCV,Python,深度学习框架",毕马威中国 KPMG China,专业技术服务,5000-10000人,Unknown
AI产品经理-剪映CapCut,深圳-南山区,20-40k·15薪,3-5年,本科,"AI人工智能产品,商业产品,人工智能,IT互联网,产品规划",字节跳动,互联网,10000人以上,其他
AI产品经理,深圳-南山区,50-80k·15薪,5-10年,本科,"AI人工智能产品,平台产品,人工智能,用户研究,产品优化,产品设计,产品规划,交互设计,团队管理",字节跳动,互联网,10000人以上,其他
AI工具产品经理-剪映CapCut,深圳-南山区,20-40k·15薪,3-5年,本科,"工具产品,ERP产品,数据产品,用户研究,需求分析,数据分析,团队管理",字节跳动,互联网,10000人以上,其他
AI高级产品经理,深圳,35-50k,5-10年,本科,"数据产品,AI人工智能产品",某深圳办公用品/设备上市公司,办公用品/设备,2000-5000人,已上市
AI高级产品经理,深圳,35-40k,经验不限,统招本科,"供应链产品,电子商务,产品设计,竞品分析,产品规划,需求说明,用户研究,团队管理",某办公用品/设备上市公司,办公用品/设备,2000-5000人,已上市
投资人 A/VP/D (AI方向）,深圳-福田区,40-70k·18薪,经验不限,硕士,Unknown,经纬创投,基金/证券/期货,50-99人,Unknown
芯片规划专家（AI）,深圳,120-150k·15薪,5-10年,本科,"产品管理,架构设计,技术战略,驱动开发,数据治理,数据分析,数据开发,数据建模,人工智能领域,通信领域",某深圳大型通信设备公司,通信设备,10000人以上,融资未公开
大模型算法复杂人,深圳,140-170k,经验不限,本科,"NLP,LLM,大模型算法,社交类APP",某北京在线社交/媒体公司,在线社交/媒体,100-499人,B轮
（金融线）大模型应用高级解决方案架构师-OPEN,深圳,45-60k·16薪,5-10年,统招本科,Unknown,某上海大型互联网公司,互联网,5000-10000人,Unknown
AI算法产品经理-剪映CapCut,深圳-南山区,30-50k·15薪,3-5年,本科,"客户端产品,工具产品,人工智能,用户研究,产品优化,需求分析,产品设计",字节跳动,互联网,10000人以上,其他
AI产品负责人,深圳-南山区,50-80k,5-10年,学历不限,"AI人工智能产品,人工智能,产品规划,用户研究,团队管理",某深圳大型云计算/大数据公司,云计算/大数据,2000-5000人,A轮
AIGC负责人,苏州-虎丘区,20-30k·14薪,经验不限,统招本科,"AI人工智能产品,chatGPT,AI,AI咨询,人工智能",英格玛(苏州)控股有限公司,人力资源服务,10000人以上,Unknown
AIGC产品经理,苏州-虎丘区,12-25k,3-5年,本科,"AI人工智能产品,人工智能,产品优化,竞品分析,用户研究,需求分析,产品规划,数据分析,团队管理",英格玛(苏州)控股有限公司,人力资源服务,10000人以上,Unknown
AIGC应用产品经理,苏州-虎丘区,15-20k·13薪,3-5年,统招本科,"AI人工智能产品,人工智能,产品优化,竞品分析,用户研究,产品规划,数据分析,需求分析,团队管理",英格玛(苏州)控股有限公司,人力资源服务,10000人以上,Unknown
AIGC产品总监,苏州-昆山,20-30k,3-5年,本科,"视觉设计,平面设计,品牌设计,AI智能设计,Midjourney,Stable Diffusion",聚尚仁合,IT服务,100-499人,Unknown
AIGC技术专家,苏州-工业园区,20-40k·13薪,1-3年,统招本科,"语音识别,深度学习,PyTorch,TensorFlow,深度学习框架",凌志软件,计算机软件,1000-2000人,科创板上市
AIGC技术专家,苏州-工业园区,25-50k,3-5年,统招本科,"优化算法,自然语言处理,算法优化,算法研究,算法设计,算法开发",凌志软件,计算机软件,1000-2000人,科创板上市
软件产品经理（专注AIGC技术和DevOps提效方向）,苏州-工业园区,20-30k,5-10年,统招本科,"工具产品,团队管理,市场调研,用户研究,产品设计",软通动力,互联网,10000人以上,Unknown
云网络运维技术专家（AIGC运维）,苏州,20-40k·18薪,5-10年,统招本科,"云平台运维,网络运维,SQL",某上海大型人工智能公司,人工智能,10000人以上,融资未公开
AIGC商业视觉设计,苏州-虎丘区,6-10k,1-3年,大专,"动画设计,2D动画,平面设计,视觉设计,Premiere,Photoshop",苏州格道企业管理咨询有限公司,咨询服务,50-99人,Unknown
Android开发工程师 - AIGC独角兽企业,苏州-吴中区,25-40k·15薪,3-5年,统招本科,"Flutter,React,前端开发",某北京IT服务公司,科技推广服务,50-99人,战略融资
AI算法工程师,苏州-工业园区,10-30k,1-3年,本科,"GA算法,自然语言处理,PyTorch,Python",东声(苏州)智能科技有限公司,人工智能,100-499人,A轮
AI创意高级专家,苏州-常熟,20-30k,3-5年,本科,Unknown,某苏州大型服装/纺织/皮革公司,服装/纺织/皮革,10000人以上,融资未公开
AI创意高级专家,苏州-常熟,30-50k,5-10年,统招本科,"创意设计,Unity3D,3DMAX,服装设计,AIGC",波司登集团,服装/纺织/皮革,10000人以上,Unknown
大模型工程师(J17455),苏州-吴中区,13-28k·15薪,3-5年,本科,Unknown,追觅科技,家电,2000-5000人,C轮
